Event,Count
UEFA Euro ,197
UEFA Champions League ,100
ICC Cricket ,100
Wimbledon ,100
Ligue 1 ,99
EPL ,99
ATP Tour ,99
Miami Open ,99
NFL ,99
ATP Masters 1000 Series ,99
Tour de France ,99
Summer Olympics ,98
WTA Finals ,98
ATP Finals ,98
NBA ,98
ESports ,98
NHL ,98
MLB ,98
Super Bowl ,98
UEFA Europa League ,98
WTA Tour ,98
Stanley Cup ,98
Cincinnati Masters (Western & Southern Open) ,97
The International ,96
Formula E ,96
The Masters ,95
Serie A ,95
La Liga ,95
IPL ,95
Copa Libertadores ,95
FIFA ,95
Thomas Cup ,94
The Ashes ,94
Uber Cup ,94
CBA ,94
US Open ,93
WRC ,93
Australian Open ,91
Davis Cup ,90
Bundesliga ,90
NASCAR ,87
MotoGP ,84
24 Hours of Le Mans ,83
Fed Cup ,78
Madrid Open ,78
AFL ,78
Shanghai Masters ,76
Ryder Cup ,60
Paris Masters ,59
Winter Olympics ,58
NRL ,51
Dakar Rally ,51
Indy 500 ,43
Kentucky Derby ,39
French Open (Roland Garros) ,34
All England Championships ,30
Olympic Tennis Tournament ,20
Olympic Badminton ,12
Asian Games Badminton ,12
WTA Premier Events ,9
BWF World Championships ,8
BWF Super Series ,5
Indian Wells Masters (BNP Paribas Open) ,2
Badminton Asia Championships ,1
