Tournament,Home Team,Away Team,Home Score,Away Score,Days,date,Match Type
Premier League,Wolverhampton Wanderers,Newcastle United,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Premier League,West Ham United,Everton,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Premier League,Aston Villa,Luton Town,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Premier League,Brighton & Hove Albion,Fulham,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Premier League,Liverpool,Nottingham Forest,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Premier League,Manchester United,Manchester City,0,3,Yesterday,"Sunday, 29 October 2023",Full time
LaLiga,Mallorca,Getafe,0,0,Yesterday,"Sunday, 29 October 2023",Full time
LaLiga,Cádiz,Sevilla,2,2,Yesterday,"Sunday, 29 October 2023",Full time
LaLiga,Real Betis,Osasuna,2,1,Yesterday,"Sunday, 29 October 2023",Full time
LaLiga,Rayo Vallecano,Real Sociedad,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Bundesliga,RB Leipzig,1. FC Köln,6,0,Yesterday,"Sunday, 29 October 2023",Full time
Bundesliga,Eintracht Frankfurt,Borussia Dortmund,3,3,Yesterday,"Sunday, 29 October 2023",Full time
Serie A,Lecce,Torino,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Serie A,Juventus,Hellas Verona,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Serie A,Cagliari,Frosinone,4,3,Yesterday,"Sunday, 29 October 2023",Full time
Serie A,Monza,Udinese,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Ligue 1 Uber Eats,Lens,Nantes,4,0,Yesterday,"Sunday, 29 October 2023",Full time
Ligue 1 Uber Eats,Brest,PSG,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Ligue 1 Uber Eats,Lille,Monaco,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Ligue 1 Uber Eats,Metz,Le Havre,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Ligue 1 Uber Eats,Montpellier,Toulouse,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Scottish Premiership,Kilmarnock,Aberdeen,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Scottish Premiership,Rangers,Hearts,2,1,Yesterday,"Sunday, 29 October 2023",Full time
1. Division,Helsingør,Fredericia,3,3,Yesterday,"Sunday, 29 October 2023",Full time
1. Division,Næstved,Vendsyssel,1,1,Yesterday,"Sunday, 29 October 2023",Full time
1. HNL,Osijek,Istra,3,1,Yesterday,"Sunday, 29 October 2023",Full time
1. HNL,Rijeka,Gorica,1,0,Yesterday,"Sunday, 29 October 2023",Full time
1. Lig,Kocaelispor,Gençlerbirliği,2,2,Yesterday,"Sunday, 29 October 2023",Full time
1. Lig,Manisa FK,Çorum FK,2,2,Yesterday,"Sunday, 29 October 2023",Full time
1. Lig,Adanaspor,Ümraniye,1,0,Yesterday,"Sunday, 29 October 2023",Full time
1. Lig,Altay,Sakaryaspor,1,2,Yesterday,"Sunday, 29 October 2023",Full time
1. SNL,Maribor,Rogaška,2,1,Yesterday,"Sunday, 29 October 2023",Full time
1. SNL,Radomlje,Mura,1,1,Yesterday,"Sunday, 29 October 2023",Full time
2. Bundesliga,Kaiserslautern,Hamburg,3,3,Yesterday,"Sunday, 29 October 2023",Full time
2. Bundesliga,Magdeburg,SV 07 Elversberg,1,2,Yesterday,"Sunday, 29 October 2023",Full time
2. Bundesliga,Holstein,Nürnberg,0,2,Yesterday,"Sunday, 29 October 2023",Full time
2. Bundesliga,Wiesbaden,Hansa Rostock,1,0,Yesterday,"Sunday, 29 October 2023",Full time
2. Lig,Isparta 32,Karaman FK,2,0,Yesterday,"Sunday, 29 October 2023",Full time
2. Lig,24 Erzincan,Utas Usakspor,2,0,Yesterday,"Sunday, 29 October 2023",Full time
2. Liga,Ried,St. Pölten,1,1,Yesterday,"Sunday, 29 October 2023",Full time
3. Lig,52 Orduspor,Kepezspor,2,0,Yesterday,"Sunday, 29 October 2023",Full time
3. Lig,Karşıyaka,Elazığspor,0,0,Yesterday,"Sunday, 29 October 2023",Full time
3. Lig,Bornova 1877,Erbaa,1,1,Yesterday,"Sunday, 29 October 2023",Full time
3. Liga,Saarbrücken,Dynamo Dresden,0,0,Abandoned,"Sunday, 29 October 2023",
3. Liga,Verl,Lübeck,4,0,Abandoned,"Sunday, 29 October 2023",
A Lyga,Kauno Žalgiris,H. Litauen,4,0,Yesterday,"Sunday, 29 October 2023",Full time
A-League Men,Central Coast Mariners,Macarthur FC,1,2,Yesterday,"Sunday, 29 October 2023",Full time
A-League Men,Melbourne Victory,Newcastle Jets,5,3,Yesterday,"Sunday, 29 October 2023",Full time
A-League Men,Adelaide United,Melbourne City,6,0,Yesterday,"Sunday, 29 October 2023",Full time
African Football League,Mamelodi Sundowns,Al Ahly,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Allsvenskan,Kalmar FF,Värnamo,1,3,Yesterday,"Sunday, 29 October 2023",Full time
Allsvenskan,Mjällby,Häcken,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Allsvenskan,Norrköping,Malmö,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Armenian Premier League,West Armenia,Pyunik,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Armenian Premier League,BKMA,Ararat,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Azerbaijan Premier League,Sumgayit FK,Qəbələ,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Azerbaijan Premier League,Neftçi,Sabah,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Botola,Olympic Safi,Raja Club Athletic,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Botola,Club Athletic Youssoufia Berrechid,UTS,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Botola,FAR Rabat,IR Tanger,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série A,Palmeiras,Bahia,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série A,América MG,Grêmio,3,4,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série A,Atl. Mineiro,Fluminense,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série B,Ituano,Mirassol,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série B,Criciúma,Sampaio Corrêa FC,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Brasileirão Série B,Vila Nova,Atlético GO,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Bundesliga,Sturm,Austria,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Bundesliga,A Lustenau,Hartberg,0,4,Yesterday,"Sunday, 29 October 2023",Full time
CONMEBOL Sudamericana,Fortaleza,LDU Quito,1 (3),1 (4),,"Sunday, 29 October 2023",Full timePens
Campeonato Uruguayo Femenino,Nacional Women,Boston River Women,6,0,Yesterday,"Sunday, 29 October 2023",Full time
Campeonato Uruguayo Femenino,River Plate Women,Liverpool Women,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Campeonato Uruguayo Femenino,Defensor Sporting Women,City Torque Women,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Campeonato Uruguayo Femenino,Wanderers Women,Racing Women,6,0,Yesterday,"Sunday, 29 October 2023",Full time
Campionato Primavera 1 TIMvision,Frosinone Calcio Under 19,Torino Under 19,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Campionato Primavera 1 TIMvision,Milan U19,Sampdoria Under 19,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Campionato Primavera 1 TIMvision,US Sassuolo Calcio U19,Lecce U19,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Campionato Primavera 1 TIMvision,Lazio U19,Empoli U19,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Canadian Premier League,Forge,Cavalry,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Carioca 2,Barra Tijuca,Duque,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Carioca 2,Nova Cidade,Macaense,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Carioca 2,Pérolas Negras,Goytacaz,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Carioca 2,Serrano RJ,São Gonçalo EC,4,3,Yesterday,"Sunday, 29 October 2023",Full time
Carioca 2,Macaé,Friburguense,3,4,Yesterday,"Sunday, 29 October 2023",Full time
Challenge League,Thun,Vaduz,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Challenger Pro League,SK Beveren,Francs Borains,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Challenger Pro League,Jong Genk,Lierse K,1,3,Yesterday,"Sunday, 29 October 2023",Full time
Challenger Pro League,K Beerschot VA,Dender,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Challenger Pro League,SL16 FC,Deinze,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Guoan,Rongcheng,2,3,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Henan,Changchun,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Meizhou,Nantong Zhiyun,0,4,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Hainiu,Dalian,2,2,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Port,Shandong,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Tianjin JMT,Shenhua,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Three Towns,Shenzhen,1,0,Yesterday,"Sunday, 29 October 2023",Full time
Chinese Super League,Zhejiang,Cangzhou,6,1,Yesterday,"Sunday, 29 October 2023",Full time
Copa de la Liga Profesional,Boca Juniors,Estudiantes,0,0,,"Sunday, 29 October 2023",02:11
Copa de la Liga Profesional,Instituto,Vélez,0,1,,"Sunday, 29 October 2023",02:11
Cymru Premier,TNS,Bala,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Cypriot First Division,Karmiotissa,APOEL,1,2,Yesterday,"Sunday, 29 October 2023",Full time
Cypriot First Division,Nea Salamis,AEL Limassol,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Czech Fortuna liga,Baník,Jablonec,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Czech Fortuna liga,Viktoria Plzeň,Karviná,0,1,Yesterday,"Sunday, 29 October 2023",Full time
Czech Fortuna liga,Mladá Boleslav,Sparta,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Czech Fortuna národní liga,Sparta II,Sigma II,0,2,Yesterday,"Sunday, 29 October 2023",Full time
Czech Fortuna národní liga,Varnsdorf,Žižkov,4,2,Yesterday,"Sunday, 29 October 2023",Full time
EFL Championship,Sheffield Wednesday,Rotherham United,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Eerste Divisie,Cambuur,Groningen,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Egyptian Premier League,ZED,Smouha,1,1,Yesterday,"Sunday, 29 October 2023",Full time
Egyptian Premier League,Ittihad,Mokawloon,3,2,Yesterday,"Sunday, 29 October 2023",Full time
Ekstraklasa,Ruch,Śląsk,2,2,,"Sunday, 29 October 2023",02:24
Ekstraklasa,Zagłębie,Radomiak,2,3,,"Sunday, 29 October 2023",02:24
Ekstraklasa,Legia,Stal Mielec,1,3,,"Sunday, 29 October 2023",02:24
Eliteserien,Haugesund,Aalesund,6,1,,"Sunday, 29 October 2023",02:50
Eredivisie,Heerenveen,Heracles,3,0,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,Almere,Go Ahead Eagles,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,Sparta,Waalwijk,2,0,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,Fortuna,Utrecht,0,0,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,Twente,Feyenoord,2,1,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,Volendam,Excelsior,3,1,Yesterday,"Sunday, 29 October 2023",Full time
Eredivisie,PSV,Ajax,5,2,Yesterday,"Sunday, 29 October 2023",Full time
Ettan,Umeå,ÖSIF,0,1,Yesterday,"Sunday, 29 October 2023",Full time
