Entity,source,event,sport_category,count
Andy Murray,"['Express', 'Tennishead', 'Tennishead', 'Express', 'Express', 'Express', 'Tennishead', 'Tennishead', 'Express', 'Tennishead', 'Tennishead', 'Tennishead', 'Tennishead', 'Tennishead', 'Express']","['Australian Open ', 'ATP Tour ', 'US Open ', 'US Open ', 'US Open ', 'Wimbledon ', 'Wimbledon ', 'Olympic Tennis Tournament ', 'Olympic Tennis Tournament ', 'ATP Finals ', 'ATP Masters 1000 Series ', 'Shanghai Masters ', 'Paris Masters ', 'Paris Masters ', 'The Masters ']",Tennis,15
NASCAR,"['Beyond the Flag', 'Autoweek', 'EssentiallySports', 'EssentiallySports', 'San Francisco Chronicle', 'EssentiallySports', 'The Sportsrush', 'Rutland Herald', 'The Dominion Post', 'USA Today', 'Ifantasyrace.com', 'San Francisco Chronicle']","['NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ', 'NASCAR ']",Motorsports,12
Carlos Alcaraz,"['Lob and Smash', 'TennisUpToDate.com', 'Lob and Smash', 'TennisUpToDate.com', 'Lob and Smash', 'TennisUpToDate.com', 'ATP Tour', 'Sky Sports', 'ATP Tour', 'Lob and Smash']","['Olympic Tennis Tournament ', 'ATP Finals ', 'Shanghai Masters ', 'Shanghai Masters ', 'Paris Masters ', 'Paris Masters ', 'Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ', 'Cincinnati Masters (Western & Southern Open) ', 'Summer Olympics ']",Tennis,10
Shakhtar Donetsk,"['Wimbledon Guardian', 'sportsmax.tv', 'CBS Sports', 'AS USA', 'Ahram Online', 'Ahram Online', 'Brisbane Times', 'NJ.com', 'CBS Sports']","['Wimbledon ', 'Madrid Open ', 'UEFA Europa League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Euro ', 'La Liga ']",Tennis,9
Rafael Nadal,"['Express', 'Sportskeeda', 'Sportskeeda', 'Lob and Smash', 'Sportskeeda', 'Lob and Smash', 'Lob and Smash', 'Express', 'Lob and Smash']","['Australian Open ', 'French Open (Roland Garros) ', 'ATP Tour ', 'Olympic Tennis Tournament ', 'ATP Finals ', 'Shanghai Masters ', 'Paris Masters ', 'The Masters ', 'Summer Olympics ']",Tennis,9
Messi,"['AS USA', 'Eurosport COM', 'Eurosport COM', 'Eurosport COM', 'AS USA', 'Eurosport COM', 'Eurosport COM', 'Nerd Street Gamers']","['Miami Open ', 'MotoGP ', 'UEFA Europa League ', 'UEFA Champions League ', 'Copa Libertadores ', 'EPL ', 'Ligue 1 ', 'ESports ']",Tennis,8
Atletico Madrid,"['Sporting News', 'VAVEL.com', 'BBC', 'Eurosport COM', 'Sports Illustrated', 'SuperSport', 'Yahoo News UK', 'The Standard']","['Madrid Open ', 'Madrid Open ', 'Ryder Cup ', 'UEFA Champions League ', 'UEFA Champions League ', 'UEFA Champions League ', 'La Liga ', 'La Liga ']",Tennis,8
Glenn Maxwell,"['Wimbledon Guardian', 'The Times', 'ESPNcricinfo', 'Mint', 'The Hindu', 'ESPNcricinfo', 'Sportstar', 'ANI News']","['Wimbledon ', 'The Ashes ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ', 'ICC Cricket ']",Tennis,8
Odds,"['Sports Illustrated', 'Covers', 'Football Italia', 'Football Italia', 'Football Italia', 'Football Italia']","['Miami Open ', 'EPL ', 'Serie A ', 'Serie A ', 'Serie A ', 'Serie A ']",Tennis,6
Bonna,"['The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star', 'The Daily Star']","['US Open ', 'ATP Finals ', 'ATP Masters 1000 Series ', 'Shanghai Masters ', 'Paris Masters ', 'The Masters ']",Tennis,6
