Rank,Name,Nation,Tournaments,Points,Breakdown,Category
1,ZHENG Si Wei / HUANG Ya Qiong,China,15,"110,956",button,Badminton Mixed Double
2,WATANABE Yuta / HIGASHINO Arisa,Japan,16,"94,795",button,Badminton Mixed Double
3,FENG Yan Zhe / HUANG Dong Ping,China,21,"87,789",button,Badminton Mixed Double
4,SEO Seung Jae / CHAE Yu Jung,Korea,21,"85,496",button,Badminton Mixed Double
5,PUAVARANUKROH Dechapol / TAERATTANACHAI Sapsiree,Thailand,20,"80,634",button,Badminton Mixed Double
6,JIANG Zhen Bang / WEI Ya Xin,China,20,"78,180",button,Badminton Mixed Double
7,KIM Won Ho / JEONG Na Eun,Korea,18,"73,817",button,Badminton Mixed Double
8,GICQUEL Thom / DELRUE Delphine,France,18,"68,871",button,Badminton Mixed Double
9,CHRISTIANSEN Mathias / BØJE Alexandra,Denmark,20,"67,478",button,Badminton Mixed Double
10,CHEN Tang Jie / TOH Ee Wei,Malaysia,27,"67,338",button,Badminton Mixed Double
