title,processed_title,League Name,category
MARK CLATTENBURG: Newcastle are right to feel robbed by PSG late penalty... the referee decision to award,MARK CLATTENBURG : Newcastle right feel rob PSG late penalty ... referee decision award,other,Others
"Soccer-'Group of death' delivers as PSG, Newcastle and Milan all stay in hunt","soccer-'group death ' deliver PSG , Newcastle Milan stay hunt",other,Others
Newcastle boss Howe rues penalty decision in PSG Champions League draw,newcastle boss Howe rue penalty decision PSG Champions League draw,champions league,
Jermaine Jenas fumes at hocking decision' as Newcastle United denied famous UEFA Champions League win at PSG,Jermaine Jenas fume hock decision ' Newcastle United deny famous UEFA Champions League win PSG,uefa,
Howe hypocritical in the extreme about home fan 'pressure' but Newcastle were cheated by PSG pen,howe hypocritical extreme home fan ' pressure ' Newcastle cheat PSG pen,other,Others
PSG vs Newcastle United: Three key players to look out for,PSG vs Newcastle United : three key player look,other,Others
"PSG vs Newcastle Prediction - Champions League Odds, Free Picks & Betting Tips","PSG vs Newcastle Prediction - Champions League Odds , Free Picks & Betting Tips",champions league,
"PSG vs Newcastle LIVE! Champions League match commentary, team news, how to follow, analysis","PSG vs Newcastle LIVE ! Champions League match commentary , team news , follow , analysis",champions league,
Mbappe rescues PSG with last-gasp equaliser against Newcastle,Mbappe rescue PSG last - gasp equaliser Newcastle,other,Others
Howe aims to boost Newcastle momentum in PSG clash,howe aim boost Newcastle momentum PSG clash,other,Others
'What a load of s***': Alan Shearer leads the outrage as Newcastle are denied a famous win over PSG by a very,' load * * * ' : Alan Shearer lead outrage Newcastle deny famous win PSG,other,Others
Newcastle fans urged to stick together after violence before PSG match,Newcastle fan urge stick together violence PSG match,other,Others
PSG vs Newcastle - Preview,PSG vs Newcastle - Preview,other,Others
Football world blasts ‘ROBBERY’ and Shearer slams ‘what a load of s***’ after PSG’s controversial penalty v...,football world blast ' ROBBERY ' Shearer slam ' load * * * ' PSG ’s controversial penalty v ...,other,Others
Why Paris Saint-Germain were awarded controversial stoppage-time penalty against Newcastle,Paris Saint - Germain award controversial stoppage - time penalty Newcastle,other,Others
"Preview: Paris Saint-Germain vs. Newcastle United - prediction, team news, lineups","preview : Paris Saint - Germain vs. Newcastle United - prediction , team news , lineup",other,Others
PSG Marquinhos ruled out of Monaco and Newcastle games,PSG Marquinhos rule Monaco Newcastle game,other,Others
Two-word Newcastle United injury update 'probably' rules 14th player out of PSG clash,two - word Newcastle United injury update ' probably ' rule 14th player PSG clash,other,Others
PSG boss Luis Enrique disagrees with Pochettino Newcastle assessment,PSG boss Luis Enrique disagree Pochettino Newcastle assessment,other,Others
PSG predicted XI vs Newcastle: Randal Kolo Muani to start ahead of Gonçalo Ramos,PSG predict XI vs Newcastle : Randal Kolo Muani start ahead Gonçalo Ramos,other,Others
Newcastle fans attacked by PSG ultras before Champions League game,Newcastle fan attack PSG ultra Champions League game,champions league,
Video - Eddie Howe Press Conference - Toon In Training At Parc des Princes - The Newcastle United Blog,Video - Eddie Howe Press Conference - Toon training Parc des Princes - Newcastle United Blog,other,Others
Bruno Guimaraes has beaten PSG in their own backyard before and is eyeing repeat with Newcastle,Bruno Guimaraes beat PSG backyard eye repeat Newcastle,other,Others
Saudi-backed Newcastle face Champions League reality check,Saudi - back Newcastle face Champions League reality check,champions league,
Newcastle face 'defining moment' against PSG – The Irish Times,Newcastle face ' define moment ' PSG – Irish Times,other,Others
"PSG vs Newcastle betting tips, BuildABet, best bets and preview","PSG vs Newcastle bet tip , buildabet , good bet preview",other,Others
5 of them teenagers! The 15 outfield Newcastle United players Eddie Howe has taken to PSG,5 teenager ! 15 outfield Newcastle United player Eddie Howe take PSG,other,Others
(Video) PSG and Newcastle fans clash ahead of mammoth UCL tie,( Video ) PSG Newcastle fan clash ahead mammoth ucl tie,other,Others
What Newcastle United need to qualify for Champions League knockouts,Newcastle United need qualify Champions League knockout,champions league,
Kylian Mbappé on spot to rescue PSG against gutsy Newcastle,Kylian Mbappé spot rescue PSG gutsy Newcastle,other,Others
'Do me a f***ing favour' blasts Alan Shearer as VAR handball mess costs Newcastle PSG win,' I f***ing favour ' blast Alan Shearer VAR handball mess cost Newcastle PSG win,other,Others
VAR the villain as late penalty call denies Newcastle rearguard win in Paris,VAR villain late penalty call deny Newcastle rearguard win Paris,other,Others
The 17-year-old starlet who bossed Chelsea’s World Cup winner now has to stop Kylian Mbappe and co in N...,17 - year - old starlet boss Chelsea ’s World Cup winner stop Kylian Mbappe co N ...,other,Others
"After Zaire-Emery, another key PSG player will now miss Newcastle game next week","Zaire - Emery , another key PSG player miss Newcastle game next week",other,Others
"Champions League: PSG coach, Enrique names strong squad for Newcastle in Paris","Champions League : PSG coach , Enrique name strong squad Newcastle Paris",champions league,
Toon in training: Magpies prepare for PSG,toon training : magpie prepare PSG,other,Others
How to watch PSG vs Newcastle: TV channel and live stream,watch PSG vs Newcastle : tv channel live stream,other,Others
"Newcastle vs. PSG prediction: Champions League odds, pick for Tuesday","Newcastle vs. PSG prediction : Champions League odd , pick Tuesday",champions league,
"'Yes, it s***, but the videos make it look worse than it was' – Paris violence played down by Newcastle fans","' yes , * * * , video make look bad ' – Paris violence play Newcastle fan",other,Others
Mbappé penalty rescues draw for PSG against Newcastle in Champions League,Mbappé penalty rescue draw PSG Newcastle Champions League,champions league,
A win would be nice – Keeper Nick Pope urges Newcastle to upset PSG,win would nice – Keeper Nick Pope urge Newcastle upset PSG,other,Others
Outrage As 'Disgusting' Decision Hands PSG 98th Min Draw Vs Newcastle,outrage ' Disgusting ' Decision Hands psg 98th Min Draw Vs Newcastle,other,Others
Club officially confirm star will miss Newcastle clash - Out for the next 10 days,club officially confirm star miss Newcastle clash - next 10 day,other,Others
Newcastle: Luis Enrique warning to his PSG players,Newcastle : Luis Enrique warning PSG player,other,Others
Keith Downie drops worrying Newcastle team news update before PSG clash,Keith Downie drop worry Newcastle team news update PSG clash,other,Others
Ally McCoist makes feelings clear on Newcastle draw after PSG penalty,Ally McCoist make feeling clear Newcastle draw PSG penalty,other,Others
"Howe eyes Newcastle 'defining moment' in Champions League, with young star set for huge role","howe eye Newcastle ' define moment ' Champions League , young star set huge role",champions league,
Alexander Isak Offers Bold Answer on Newcastle’s Second Half Strategy vs. PSG,Alexander Isak offer Bold Answer Newcastle ’s second Half Strategy vs. PSG,other,Others
Watch Champions League Soccer: Livestream PSG vs. Newcastle From Anywhere,Watch Champions League Soccer : Livestream PSG vs. Newcastle anywhere,champions league,
"PSG vs. Newcastle odds, line, predictions: UEFA Champions League picks and best bets for Nov. 28, 2023 from soccer ...","PSG vs. Newcastle odd , line , prediction : UEFA Champions League pick good bet Nov. 28 , 2023 soccer ...",uefa,
Why controversial PSG penalty would not be given in England and experts' verdict,controversial PSG penalty would give England expert ' verdict,other,Others
Newcastle fans urged to tick together' in Paris after attack by PSG ultras,Newcastle fan urge tick together ' Paris attack PSG ultra,other,Others
"Aston Villa line up shock bid for £25m Arsenal star Arteta isn't convinced by, as Newcastle watch on","Aston Villa line shock bid £ 25 Arsenal star Arteta n't convince , Newcastle watch",other,Others
Kieran Tierney Sets Course for the Summer: What Could Happen for the Scotsman?,Kieran Tierney set course Summer : could happen Scotsman ?,other,Others
Wednesday: Watch Liverpool in Europa League training,Wednesday : watch Liverpool Europa League training,other,Others
Liverpool set to clinch place in Europa League knockouts,Liverpool set clinch place Europa League knockout,other,Others
LFC warned not to expect 'tourists' as LASK hunt leaders with narrow win,LFC warn expect ' tourist ' LASK hunt leader narrow win,other,Others
Predicting Starting XI for LASK Europa League Clash,predict start XI LASK Europa League Clash,other,Others
