title,source,event
2022 US Open: What is Iga Swiatek's net worth?,AS USA,French Open (Roland Garros) 
Iga Swiatek is world No1 once again – now she means to stay there,The Athletic,French Open (Roland Garros) 
Chris Evert defends Iga Swiatek against 'disappointing season ...,Sportskeeda,French Open (Roland Garros) 
Djokovic not 'eternal' but Simon backs world number one for multiple ...,sportsmax.tv,French Open (Roland Garros) 
Tennis Channel promotes Neil Roberts to vice president of ...,Tennis Magazine,French Open (Roland Garros) 
"""100% sure Federer or Nadal would never do something like that ...",Sportskeeda,French Open (Roland Garros) 
Novak Djokovic leaves Carlos Alcaraz sponsors Nike red-faced after Paris Masters triumph,Express,French Open (Roland Garros) 
"""Even if Iga Swiatek retires with 40 slams, she will never surpass ...",Sportskeeda,French Open (Roland Garros) 
Top 10 men's title winners in Open Era: Novak Djokovic wins 97th ...,msnNOW,French Open (Roland Garros) 
ATP Sofia Day 1 Predictions Including Roberto Carballes Baena vs Albert Ramos-Vinolas,Last Word On Sports,French Open (Roland Garros) 
Novak Djokovic sets sights on major goals after securing Paris ...,sportsmax.tv,French Open (Roland Garros) 
lịch đá giải ngoại hạng anh,dienbien.gov.vn,French Open (Roland Garros) 
GC wochnelang ohne Corbeanu und Lonwijk,sport.ch,French Open (Roland Garros) 
Baltisberger zeigt Riedi im ZSC-Training den Meister,sport.ch,French Open (Roland Garros) 
«J'ai essuyé quelques larmes en revoyant les images»,blue News,French Open (Roland Garros) 
Das achte Team der Woche der National League 2023/24.,sport.ch,French Open (Roland Garros) 
Pep Guardiola lobt YBs Konterqualitäten,sport.ch,French Open (Roland Garros) 
"AC Milan gegen Paris Saint-Germain im TV und IPTV, Live-Stream ...",sport.ch,French Open (Roland Garros) 
Simon Ammann gehen vor seiner 27. Profisaison die Ideen nicht aus,sport.ch,French Open (Roland Garros) 
Für Rodriguez beginnt der Wettlauf gegen die Zeit,sport.ch,French Open (Roland Garros) 
Joel Marchon wird keine weiteren Spiele für den HC Thurgau ...,sport.ch,French Open (Roland Garros) 
Vargas wird Markenbotschafter von Adidas,sport.ch,French Open (Roland Garros) 
YB im CL-Rückspiel gegen Manchester City mit Meschack Elia,sport.ch,French Open (Roland Garros) 
Nino Niederreiter würde seinen auslaufenden Vertrag bei den ...,sport.ch,French Open (Roland Garros) 
Odermatt lieferte sich einst handgreifliche Verfolungsjagd auf Skiern,sport.ch,French Open (Roland Garros) 
Wawrinka erreicht in Metz das Achtelfinale,sport.ch,French Open (Roland Garros) 
Livio Hiltbrand als Berner Nachwuchssportler des Jahres 2023 ...,sport.ch,French Open (Roland Garros) 
Servette-Verteidiger Anthony Baron trainiert wieder mit der Mannschaft,sport.ch,French Open (Roland Garros) 
Swiss-Ski entsendet neun Athletinnen nach Levi,sport.ch,French Open (Roland Garros) 
"Pascal Schürpf und Bruno Berner äussern sich zur Frage, ob der ...",sport.ch,French Open (Roland Garros) 
Der Schweizer MLS-Torhüter Roman Bürki fliegt mit St. Louis gegen ...,sport.ch,French Open (Roland Garros) 
Rodwin Dionicio darf von der NHL träumen,sport.ch,French Open (Roland Garros) 
